Team,#,Pos.,FIFA Popular Name,Birth Date,Shirt Name,Club,Height,Weight
France,1,GK,LLORIS Hugo,26.12.1986,LLORIS,Tottenham Hotspur FC (ENG),188,82
France,12,MF,TOLISSO Corentin,03.08.1994,TOLISSO,FC Bayern München (GER),180,82
France,5,DF,UMTITI Samuel,14.11.1993,UMTITI,FC Barcelona (ESP),183,84
France,22,DF,MENDY Benjamin,17.07.1994,MENDY,Manchester City FC (ENG),183,84
France,6,MF,POGBA Paul,15.03.1993,POGBA,Manchester United FC (ENG),191,86
France,15,MF,NZONZI Steven,15.12.1988,NZONZI,Sevilla FC (ESP),197,87
France,16,GK,MANDANDA Steve,28.03.1985,MANDANDA,Olympique Marseille (FRA),187,88
France,17,DF,RAMI Adil,27.12.1985,RAMI,Olympique Marseille (FRA),190,90
France,9,FW,GIROUD Olivier,30.09.1986,GIROUD,Chelsea FC (ENG),193,91
France,23,GK,AREOLA Alphonse,27.02.1993,AREOLA,Paris Saint-Germain FC (FRA),195,95
Germany,11,FW,REUS Marco,31.05.1989,REUS,Borussia Dortmund (GER),180,67
Germany,10,MF,OEZIL Mesut,15.10.1988,ÖZIL,Arsenal FC (ENG),180,70
Germany,18,DF,KIMMICH Joshua,08.02.1995,KIMMICH,FC Bayern München (GER),176,72
Germany,7,MF,DRAXLER Julian,20.09.1993,DRAXLER,Paris Saint-Germain FC (FRA),185,74
Germany,19,MF,RUDY Sebastian,28.02.1990,RUDY,FC Bayern München (GER),179,74
Germany,3,DF,HECTOR Jonas,27.05.1990,HECTOR,1. FC Köln (GER),185,75
Germany,9,FW,WERNER Timo,06.03.1996,WERNER,RB Leipzig (GER),181,75
Germany,13,MF,MUELLER Thomas,13.09.1989,MÜLLER,FC Bayern München (GER),186,75
Germany,2,DF,PLATTENHARDT Marvin,26.01.1992,PLATTENHARDT,Hertha BSC (GER),181,76
Germany,14,MF,GORETZKA Leon,06.02.1995,GORETZKA,FC Schalke 04 (GER),189,76
Germany,8,MF,KROOS Toni,04.01.1990,KROOS,Real Madrid CF (ESP),182,78
Germany,21,MF,GUENDOGAN Ilkay,24.10.1990,GÜNDOGAN,Manchester City FC (ENG),180,79
Germany,6,DF,KHEDIRA Sami,04.04.1987,KHEDIRA,Juventus FC (ITA),189,81
Germany,20,MF,BRANDT Julian,02.05.1996,BRANDT,Bayer 04 Leverkusen (GER),183,82
Germany,23,FW,GOMEZ Mario,10.07.1985,GOMEZ,VfB Stuttgart (GER),189,82
Germany,4,DF,GINTER Matthias,19.01.1994,GINTER,VfL Borussia Mönchengladbach (GER),189,85
Germany,16,DF,RUEDIGER Antonio,03.03.1993,RÜDIGER,Chelsea FC (ENG),191,85
Germany,22,GK,TER STEGEN Marc-Andre,30.04.1992,TER STEGEN,FC Barcelona (ESP),187,85
Germany,12,GK,TRAPP Kevin,08.07.1990,TRAPP,Paris Saint-Germain FC (FRA),189,88
Germany,15,DF,SUELE Niklas,03.09.1995,SÜLE,FC Bayern München (GER),195,89
Germany,5,DF,HUMMELS Mats,16.12.1988,HUMMELS,FC Bayern München (GER),192,90
Germany,17,DF,BOATENG Jerome,03.09.1988,BOATENG,FC Bayern München (GER),192,90
Germany,1,GK,NEUER Manuel,27.03.1986,NEUER,FC Bayern München (GER),193,93
Iceland,23,DF,SKULASON Ari,14.05.1987,A. SKÚLASON,KSC Lokeren (BEL),170,63
Iceland,21,MF,TRAUSTASON Arnor,30.04.1993,TRAUSTASON,Malmö FF (SWE),183,73
Iceland,2,DF,SAEVARSSON Birkir,11.11.1984,SÆVARSSON,Valur Reykjavik (ISL),186,75
Iceland,13,GK,RUNARSSON Runar,18.02.1995,RÚNARSSON,FC Nordsjaelland (DEN),186,76
Iceland,7,MF,GUDMUNDSSON Johann,27.10.1990,J. GUDMUNDSSON,Burnley FC (ENG),179,77
Iceland,8,MF,BJARNASON Birkir,27.05.1988,B. BJARNASON,Aston Villa FC (ENG),183,77
Iceland,3,MF,FRIDJONSSON Samuel,22.02.1996,FRIDJÓNSSON,Valerenga IF (NOR),185,78
Iceland,19,MF,GISLASON Rurik,25.02.1988,GISLASON,SV Sandhausen (GER),184,78
Iceland,11,FW,FINNBOGASON Alfred,01.02.1989,FINNBOGASON,FC Augsburg (GER),185,79
Iceland,16,MF,SKULASON Olafur,01.04.1983,Ó. SKÚLASON,Karabukspor (TUR),184,79
Iceland,4,MF,GUDMUNDSSON Albert,15.06.1997,A. GUDMUNDSSON,PSV Eindhoven (NED),177,80
Iceland,5,DF,INGASON Sverrir,05.08.1993,INGASON,FC Rostov (RUS),188,80
Iceland,15,DF,EYJOLFSSON Holmar,06.08.1990,EYJÓLFSSON,Levski Sofia (BUL),188,81
Iceland,10,MF,SIGURDSSON Gylfi,08.09.1989,G. SIGURDSSON,Everton FC (ENG),186,82
Iceland,14,DF,ARNASON Kari,13.10.1982,ARNASON,Aberdeen FC (SCO),191,82
Iceland,9,FW,SIGURDARSON Bjorn,26.02.1991,SIGURDARSON,FC Rostov (RUS),187,85
Iceland,18,DF,MAGNUSSON Hordur,11.02.1993,MAGNÚSSON,Bristol City FC (ENG),191,85
Iceland,6,DF,SIGURDSSON Ragnar,19.06.1986,R. SIGURDSSON,FC Rostov (RUS),187,86
Iceland,17,MF,GUNNARSSON Aron,22.04.1989,GUNNARSSON,Cardiff City FC (WAL),181,86
Iceland,20,MF,HALLFREDSSON Emil,29.06.1984,HALLFREDSSON,Udinese Calcio (ITA),186,86
Iceland,1,GK,HALLDORSSON Hannes,27.04.1984,HALLDORSSON,Randers FC (DEN),193,88
Iceland,22,FW,BODVARSSON Jon,25.05.1992,BÖDVARSSON,Reading FC (ENG),189,89
Iceland,12,GK,SCHRAM Frederik,19.01.1995,SCHRAM,Roskilde BK (DEN),198,92
IR Iran,5,DF,MOHAMMADI Milad,29.09.1993,M. MOHAMMADI,FC Akhmat Grozny (RUS),178,69
IR Iran,2,MF,TORABI Mehdi,10.09.1994,M. TORABI,Saipa Alborz FC (IRN),185,71
IR Iran,11,MF,AMIRI Vahid,02.04.1988,V. AMIRI,Persepolis FC (IRN),179,71
IR Iran,3,DF,HAJI SAFI Ehsan,25.02.1990,HAJI SAFI,Olympiacos Piraeus FC (GRE),178,75
IR Iran,9,MF,EBRAHIMI Omid,16.09.1987,OMID,Esteghlal Tehran FC (IRN),178,75
IR Iran,23,DF,REZAEIAN Ramin,21.03.1990,RAMIN,KV Oostende (BEL),185,75
IR Iran,15,DF,MONTAZERI Pejman,06.09.1983,P. MONTAZERI,Esteghlal Tehran FC (IRN),185,77
IR Iran,18,FW,JAHANBAKHSH Alireza,11.08.1993,A. JAHANBAKHSH,AZ Alkmaar (NED),180,77
IR Iran,19,DF,HOSSEINI Majid,20.06.1996,M. HOSSEINI,Esteghlal Tehran FC (IRN),183,78
IR Iran,21,FW,DEJAGAH Ashkan,05.07.1986,DEJAGAH,Nottingham Forest FC (ENG),181,78
IR Iran,7,MF,SHOJAEI Masoud,09.06.1984,SHOJAEI M.,AEK Athens (GRE),187,79
IR Iran,14,FW,GHODDOS  Saman,06.09.1993,GHODDOS,IFK Östersund FK (SWE),177,79
IR Iran,16,FW,GHOOCHANNEJHAD Reza,20.09.1987,REZA,SC Heerenveen (NED),180,79
IR Iran,4,DF,CHESHMI Roozbeh,24.07.1993,R. CHESHMI,Esteghlal Tehran FC (IRN),192,80
IR Iran,10,FW,ANSARIFARD Karim,03.04.1990,KARIM,Olympiacos Piraeus FC (GRE),187,80
IR Iran,13,DF,KHANZADEH Mohammad Reza,11.05.1991,M.R. KHANZADEH,Padideh FC (IRN),186,80
IR Iran,17,FW,TAREMI Mehdi,18.07.1992,MEHDI,Al Gharafa SC (QAT),187,80
IR Iran,20,FW,AZMOUN Sardar,01.01.1995,SARDAR,FC Rubin Kazan (RUS),186,80
IR Iran,22,GK,ABEDZADEH Amir,26.04.1993,ABEDZADEH,CS Maritimo (POR),186,80
IR Iran,6,MF,EZATOLAHI Saeid,01.10.1996,S. EZATOLAHI,FK Amkar Perm (RUS),190,82
IR Iran,8,DF,POURALIGANJI Morteza,19.04.1992,M. POURALIGANJI,Al Sadd SC (QAT),187,83
IR Iran,12,GK,MAZAHERI Rashid,18.05.1989,RASHID,Zob Ahan Isfahan FC (IRN),192,84
IR Iran,1,GK,BEIRANVAND Ali,21.09.1992,A. BEIRANVAND,Persepolis FC (IRN),194,85
Japan,14,MF,INUI Takashi,02.06.1988,INUI,SD Eibar (ESP),169,59
Japan,7,MF,SHIBASAKI Gaku,28.05.1992,SHIBASAKI,Getafe CF (ESP),175,64
Japan,18,MF,OSHIMA Ryota,23.01.1993,OHSHIMA,Kawasaki Frontale (JPN),168,64
Japan,5,DF,NAGATOMO Yuto,12.09.1986,NAGATOMO,Galatasaray SK (TUR),170,68
Japan,8,MF,HARAGUCHI Genki,09.05.1991,HARAGUCHI,Fortuna Düsseldorf (GER),178,68
Japan,10,MF,KAGAWA Shinji,17.03.1989,KAGAWA,Borussia Dortmund (GER),175,68
Japan,9,FW,OKAZAKI Shinji,16.04.1986,OKAZAKI,Leicester City FC (ENG),174,70
Japan,19,DF,SAKAI Hiroki,12.04.1990,H. SAKAI,Olympique Marseille (FRA),183,70
Japan,15,FW,OSAKO Yuya,18.05.1990,OSAKO,1. FC Köln (GER),182,71
Japan,11,MF,USAMI Takashi,06.05.1992,USAMI,Fortuna Düsseldorf (GER),178,72
Japan,13,FW,MUTO Yoshinori,15.07.1992,MUTO,FSV Mainz 05 (GER),179,72
Japan,16,MF,YAMAGUCHI Hotaru,06.10.1990,YAMAGUCHI,Cerezo Osaka (JPN),173,72
Japan,17,MF,HASEBE Makoto,18.01.1984,HASEBE,Eintracht Frankfurt (GER),180,72
Japan,23,GK,NAKAMURA Kosuke,27.02.1995,NAKAMURA,Kashiwa Reysol (JPN),184,72
Japan,1,GK,KAWASHIMA Eiji,20.03.1983,KAWASHIMA,FC Metz (FRA),185,74
Japan,3,DF,SHOJI Gen,11.12.1992,SHOJI,Kashima Antlers (JPN),182,74
Japan,4,MF,HONDA Keisuke,13.06.1986,HONDA,CF Pachuca (MEX),182,74
Japan,21,DF,SAKAI Gotoku,14.03.1991,G. SAKAI,Hamburger SV (GER),176,74
Japan,6,DF,ENDO Wataru,09.02.1993,ENDO,Urawa Reds (JPN),178,75
Japan,20,DF,MAKINO Tomoaki,11.05.1987,MAKINO,Urawa Reds (JPN),182,77
Japan,12,GK,HIGASHIGUCHI Masaaki,12.05.1986,HIGASHIGUCHI,Gamba Osaka (JPN),184,78
Japan,22,DF,YOSHIDA Maya,24.08.1988,YOSHIDA,Southampton FC (ENG),189,78
Japan,2,DF,UEDA Naomichi,24.10.1994,UEDA,Kashima Antlers (JPN),186,79
Korea Republic,10,MF,LEE Seungwoo,06.01.1998,S W LEE,Hellas Verona FC (ITA),170,63
Korea Republic,22,DF,GO Yohan,10.03.1988,Y H GO,FC Seoul (KOR),170,65
Korea Republic,14,DF,HONG Chul,17.09.1990,C HONG,Sangju Sangmu FC (KOR),176,67
Korea Republic,18,MF,MOON Seonmin,09.06.1992,S M MOON,Incheon United FC (KOR),172,68
Korea Republic,12,DF,KIM Minwoo,25.02.1990,M W KIM,Sangju Sangmu FC (KOR),172,69
Korea Republic,8,MF,JU Sejong,30.10.1990,S J JU,Asan Mugunghwa FC (KOR),176,70
Korea Republic,17,MF,LEE Jaesung,10.08.1992,J S LEE,Jeonbuk Hyundai (KOR),180,70
Korea Republic,6,DF,PARK Jooho,16.01.1987,J H PARK,Ulsan Hyundai FC (KOR),174,71
Korea Republic,13,MF,KOO Jacheol,27.02.1989,J C KOO,FC Augsburg (GER),182,73
Korea Republic,2,DF,LEE Yong,24.12.1986,Y LEE,Jeonbuk Hyundai (KOR),180,74
Korea Republic,3,DF,JUNG Seunghyun,03.04.1994,S H JUNG,Sagan Tosu FC (JPN),188,74
Korea Republic,19,DF,KIM Younggwon,27.02.1990,Y G KIM,Guangzhou Evergrande FC (CHN),184,74
Korea Republic,16,MF,KI Sungyueng,24.01.1989,S Y KI,Swansea City AFC (WAL),186,75
Korea Republic,23,GK,JO Hyeonwoo,25.09.1991,H W JO,Daegu FC (KOR),189,75
Korea Republic,7,FW,SON Heungmin,08.07.1992,H M SON,Tottenham Hotspur FC (ENG),183,76
Korea Republic,11,FW,HWANG Heechan,26.01.1996,H C HWANG,FC Red Bull Salzburg (AUT),177,77
Korea Republic,20,DF,JANG Hyunsoo,28.09.1991,H S JANG,FC Tokyo (JPN),187,77
Korea Republic,5,DF,YUN Youngsun,04.10.1988,Y S YUN,Seongnam FC (KOR),185,78
Korea Republic,15,MF,JUNG Wooyoung,14.12.1989,W Y JUNG,Vissel Kobe (JPN),186,78
Korea Republic,4,DF,OH Bansuk,20.05.1988,B S OH,Jeju United (KOR),189,79
Korea Republic,1,GK,KIM Seunggyu,30.09.1990,S G KIM,Vissel Kobe (JPN),187,80
Korea Republic,21,GK,KIM Jinhyeon,06.07.1987,J H KIM,Cerezo Osaka (JPN),193,82
Korea Republic,9,FW,KIM Shinwook,14.04.1988,S W KIM,Jeonbuk Hyundai (KOR),197,97
Mexico,20,MF,AQUINO Javier,11.02.1990,J. AQUINO,Tigres UANL (MEX),166,59
Mexico,18,MF,GUARDADO Andres,28.09.1986,A. GUARDADO,Real Betis (ESP),167,63
Mexico,22,FW,LOZANO Hirving,30.07.1995,H. LOZANO,PSV Eindhoven (NED),176,66
Mexico,6,MF,DOS SANTOS Jonathan,26.04.1990,J. DOS SANTOS,LA Galaxy (USA),173,69
Mexico,17,MF,CORONA Jesus,06.01.1993,JESÚS C.,FC Porto (POR),174,69
Mexico,8,FW,FABIAN Marco,21.07.1989,M. FABIÁN,Eintracht Frankfurt (GER),171,70
Mexico,10,MF,DOS SANTOS Giovani,11.05.1989,G. DOS SANTOS,LA Galaxy (USA),178,70
Mexico,14,FW,HERNANDEZ Javier,01.06.1988,J. HERNÁNDEZ,West Ham United FC (ENG),175,71
Mexico,7,MF,LAYUN Miguel,25.06.1988,M. LAYÚN,Sevilla FC (ESP),180,72
Mexico,19,FW,PERALTA Oribe,12.01.1984,O. PERALTA,Club América (MEX),178,72
Mexico,21,FW,ALVAREZ Edson,24.10.1997,E. ÁLVAREZ,Club América (MEX),186,72
Mexico,23,MF,GALLARDO Jesus,15.08.1994,J. GALLARDO,Pumas UNAM (MEX),177,74
Mexico,13,GK,OCHOA Guillermo,13.07.1985,G. OCHOA,Standard Liège (BEL),185,76
Mexico,4,DF,MARQUEZ Rafael,13.02.1979,R. MÁRQUEZ,CF Atlas (MEX),184,77
Mexico,5,DF,REYES Diego,19.09.1992,D. REYES,FC Porto (POR),190,77
Mexico,11,FW,VELA Carlos,01.03.1989,CARLOS V,Los Angeles FC (USA),178,78
Mexico,9,FW,JIMENEZ Raul,05.05.1991,RAÚL,SL Benfica (POR),188,79
Mexico,16,DF,HERRERA Hector,19.04.1990,H. HERRERA,FC Porto (POR),180,79
Mexico,1,GK,CORONA Jose,26.01.1981,J. CORONA,Cruz Azul (MEX),182,80
Mexico,2,DF,AYALA Hugo,31.03.1987,H. AYALA,Tigres UANL (MEX),188,82
Mexico,15,DF,MORENO Hector,17.01.1988,H. MORENO,Real Sociedad (ESP),182,82
Mexico,3,DF,SALCEDO Carlos,29.09.1993,C. SALCEDO,Eintracht Frankfurt (GER),189,83
Mexico,12,GK,TALAVERA Alfredo,18.09.1982,A. TALAVERA,Deportivo Toluca FC (MEX),188,84
Morocco,14,MF,BOUSSOUFA Mbark,15.08.1984,BOUSSOUFA,Al Jazira (UAE),167,59
Morocco,2,DF,HAKIMI Achraf,04.11.1998,HAKIMI,Real Madrid CF (ESP),179,65
Morocco,18,MF,HARIT Amine,18.06.1997,HARIT,FC Schalke 04 (GER),179,66
Morocco,23,MF,CARCELA Mehdi,01.07.1989,CARCELA,Standard Liège (BEL),176,67
Morocco,3,DF,MENDYL Hamza,21.10.1997,MENDYL,Lille OSC (FRA),179,70
Morocco,7,MF,ZIYACH Hakim,19.03.1993,ZIYACH,AFC Ajax (NED),180,70
Morocco,22,GK,TAGNAOUTI Ahmed,05.04.1996,TAGNAOUTI,IRT Tanger (MAR),186,70
Morocco,9,FW,EL KAABI Ayoub,25.06.1993,EL KAABI,RS Berkane (MAR),182,72
Morocco,11,MF,FAJR Faycal,01.08.1988,FAJR,Getafe CF (ESP),178,72
Morocco,10,MF,BELHANDA Younes,25.02.1990,BELHANDA,Galatasaray SK (TUR),174,75
Morocco,15,MF,AIT BENNASSER Youssef,07.07.1996,AIT BENNASSER,SM Caen (FRA),184,75
Morocco,19,FW,EN NESYRI Youssef,01.06.1997,EN-NESYRI,Malaga CF (ESP),188,75
Morocco,6,DF,SAISS Romain,26.03.1990,SAISS,Wolverhampton Wanderers FC (ENG),190,76
Morocco,1,GK,BOUNOU Yassine,05.04.1991,BOUNOU,Girona FC (ESP),190,77
Morocco,16,MF,AMRABAT Noureddine,31.03.1987,N. AMRABAT,CD Leganés (ESP),178,77
Morocco,21,MF,AMRABAT Sofyan,21.08.1996,S. AMRABAT,Feyenoord Rotterdam (NED),183,77
Morocco,4,DF,DA COSTA Manuel,06.05.1986,DA COSTA,Istanbul Başakşehir FK (TUR),187,78
Morocco,8,MF,EL AHMADI Karim,27.01.1985,EL AHMADI,Feyenoord Rotterdam (NED),179,78
Morocco,13,FW,BOUTAIB Khalid,24.04.1987,BOUTAIB,Yeni Malatyaspor (TUR),190,80
Morocco,20,FW,BOUHADDOUZ Aziz,30.03.1987,BOUHADDOUZ,FC St. Pauli (GER),188,80
Morocco,17,DF,DIRAR Nabil,25.02.1986,DIRAR,Fenerbahce SK (TUR),187,82
Morocco,5,DF,BENATIA Mehdi,17.04.1987,BENATIA,Juventus FC (ITA),188,88
Morocco,12,GK,EL KAJOUI Monir,10.05.1989,EL KAJOUI,CD Numancia (ESP),190,88
Nigeria,7,FW,MUSA Ahmed,14.10.1992,MUSA,CSKA Moscow (RUS),173,65
Nigeria,4,MF,NDIDI Onyinye,16.12.1996,NDIDI,Leicester City FC (ENG),184,73
Nigeria,8,MF,ETEBO Oghenekaro,09.11.1995,ETEBO,UD Las Palmas (ESP),174,74
Nigeria,17,MF,ONAZI Ogenyi,25.12.1992,ONAZI,Trabzonspor (TUR),172,74
Nigeria,21,DF,EBUEHI Tyronne,16.12.1995,EBUEHI,ADO Den Haag (NED),187,74
Nigeria,2,DF,IDOWU Bryan,18.05.1992,IDOWU,FK Amkar Perm (RUS),179,75
Nigeria,11,FW,MOSES Victor,12.12.1990,MOSES,Chelsea FC (ENG),177,75
Nigeria,12,DF,SHEHU Abdullahi,12.03.1993,SHEHU,Bursaspor (TUR),182,75
Nigeria,20,DF,AWAZIEM Chidozie,01.01.1997,AWAZIEM,FC Nantes (FRA),192,76
Nigeria,15,MF,OBI Joel,22.05.1991,OBI,Torino FC (ITA),177,77
Nigeria,1,GK,EZENWA Ikechukwu,16.10.1988,EZENWA,Enyimba FC (NGA),181,80
Nigeria,14,FW,IHEANACHO Kelechi,10.03.1996,IHEANACHO,Leicester City FC (ENG),183,80
Nigeria,3,DF,ECHIEJILE Elderson,20.01.1988,ECHIEJILE,Cercle Brugge (BEL),185,82
Nigeria,10,MF,MIKEL John Obi,22.04.1987,MIKEL,Tianjin Teda (CHN),188,82
Nigeria,22,DF,OMERUO Kenneth,17.10.1993,OMERUO,Kasimpasa SK (TUR),185,82
Nigeria,9,FW,IGHALO Odion,16.06.1989,IGHALO,Changchun Yatai (CHN),188,83
Nigeria,5,DF,EKONG William,01.09.1993,EKONG,Bursaspor (TUR),191,85
Nigeria,18,FW,IWOBI Alex,03.05.1996,IWOBI,Arsenal FC (ENG),185,86
Nigeria,6,DF,BALOGUN Leon,28.06.1988,BALOGUN,FSV Mainz 05 (GER),190,89
Nigeria,13,FW,NWANKWO Simeon,07.05.1992,NWANKWO,FC Crotone (ITA),197,89
Nigeria,19,MF,OGU John,20.04.1988,OGU,Hapoel Be'er Sheva FC (ISR),191,90
Nigeria,23,GK,UZOHO Francis,28.10.1998,UZOHO,Deportivo La Coruña (ESP),196,91
Nigeria,16,GK,AKPEYI Daniel,08.03.1986,AKPEYI,Chippa United FC (RSA),187,94
Panama,19,MF,QUINTERO Alberto,18.12.1987,QUINTERO,Universitario Lima (PER),165,62
Panama,1,GK,PENEDO Jaime,26.09.1981,PENEDO,Dinamo Bucharest (ROU),183,70
Panama,8,MF,BARCENAS Edgar,23.10.1993,BARCENAS,Cafetaleros de Tapachula (MEX),175,72
Panama,10,FW,DIAZ Ismael,12.05.1997,DIAZ,Deportivo La Coruña (ESP),181,72
Panama,11,MF,COOPER Armando,26.11.1987,COOPER,Club Universidad de Chile (CHI),173,72
Panama,17,DF,OVALLE Luis,07.09.1988,OVALLE,CD Olimpia (HON),178,75
Panama,9,FW,TORRES Gabriel,31.10.1988,G. TORRES,CD Huachipato (CHI),180,77
Panama,21,MF,RODRIGUEZ Jose Luis,19.06.1998,J. RODRIGUEZ,KAA Gent (BEL),180,77
Panama,2,DF,MURILLO Michael,11.02.1996,MURILLO,New York Red Bulls (USA),183,78
Panama,13,DF,MACHADO Adolfo,14.02.1985,MACHADO,Houston Dynamo (USA),182,78
Panama,14,MF,PIMENTEL Valentin,30.05.1991,PIMENTEL,Plaza Amador (PAN),189,80
Panama,15,DF,DAVIS Eric,31.03.1991,DAVIS,DAC Dunajska Streda (SVK),180,81
Panama,4,DF,ESCOBAR Fidel,09.01.1995,ESCOBAR,New York Red Bulls (USA),182,82
Panama,6,MF,GOMEZ Gabriel,29.05.1984,GOMEZ,Atlético Bucaramanga (COL),183,82
Panama,16,FW,ARROYO Abdiel,13.12.1993,ARROYO,LD Alajuelense (CRC),183,82
Panama,20,MF,GODOY Anibal,10.02.1990,GODOY,San Jose Earthquakes (USA),183,82
Panama,7,FW,PEREZ Blas,13.03.1981,PEREZ,CSD Municipal (GUA),187,83
Panama,22,GK,RODRIGUEZ Alex,05.08.1990,RODRIGUEZ,San Francisco FC (PAN),197,83
Panama,12,GK,CALDERON Jose,14.08.1985,CALDERON,Chorrillo FC (PAN),187,87
Panama,18,FW,TEJADA Luis,28.03.1982,TEJADA,Sport Boys (PER),183,87
Panama,23,DF,BALOY Felipe,24.02.1981,BALOY,CSD Municipal (GUA),185,87
Panama,3,DF,CUMMINGS Harold,01.03.1992,CUMMINGS,San Jose Earthquakes (USA),183,92
Panama,5,DF,TORRES Roman,20.03.1986,R. TORRES,Seattle Sounders FC (USA),188,99
Peru,7,MF,HURTADO Paolo,27.07.1990,HURTADO,Vitoria Guimaraes (POR),174,66
Peru,11,FW,RUIDIAZ Raul,25.07.1990,RUIDIAZ,CA Monarcas Morelia (MEX),169,67
Peru,22,DF,LOYOLA Nilson,26.10.1994,LOYOLA,FBC Melgar (PER),179,68
Peru,8,MF,CUEVA Christian,23.11.1991,CUEVA,Sao Paulo FC (BRA),169,69
Peru,19,MF,YOTUN Yoshimar,07.04.1990,YOTUN,Orlando City SC (USA),172,69
Peru,14,MF,POLO Andy,29.09.1994,POLO,Portland Timbers (USA),174,71
Peru,23,MF,AQUINO Pedro,13.04.1995,AQUINO,Lobos BUAP (MEX),174,71
Peru,15,DF,RAMOS Christian,04.11.1988,RAMOS,CD Tiburones Rojos de Veracruz (MEX),182,72
Peru,20,FW,FLORES Edison,14.05.1994,FLORES,Aalborg BK (DEN),170,72
Peru,6,DF,TRAUCO Miguel,25.08.1992,TRAUCO,CR Flamengo (BRA),169,74
Peru,3,DF,CORZO Aldo,20.05.1989,CORZO,Universitario Lima (PER),172,75
Peru,16,MF,CARTAGENA Wilder,23.09.1994,CARTAGENA,CD Tiburones Rojos de Veracruz (MEX),179,76
Peru,5,DF,ARAUJO Miguel,24.10.1994,ARAUJO,Alianza Lima (PER),178,77
Peru,18,FW,CARRILLO Andre,14.06.1991,CARRILLO,Watford FC (ENG),182,77
Peru,2,DF,RODRIGUEZ Alberto,31.03.1984,RODRIGUEZ,Atletico Junior (COL),179,78
Peru,12,GK,CACEDA Carlos,27.09.1991,CACEDA,Deportivo Municipal (PER),184,78
Peru,1,GK,GALLESE Pedro,23.02.1990,GALLESE,CD Tiburones Rojos de Veracruz (MEX),189,79
Peru,17,DF,ADVINCULA Luis,02.03.1990,ADVINCULA,Lobos BUAP (MEX),178,80
Peru,4,DF,SANTAMARIA Anderson,10.01.1992,SANTAMARIA,Puebla FC (MEX),183,84
Peru,21,GK,CARVALLO Jose,01.03.1986,CARVALLO,Universidad Técnica de Cajamarca (PER),182,84
Peru,10,FW,FARFAN Jefferson,26.10.1984,FARFAN,FC Lokomotiv Moscow (RUS),177,85
Peru,13,MF,TAPIA Renato,28.07.1995,TAPIA,Feyenoord Rotterdam (NED),185,85
Peru,9,FW,GUERRERO Paolo,01.01.1984,GUERRERO,CR Flamengo (BRA),185,88
Poland,19,MF,ZIELINSKI Piotr,20.05.1994,ZIELINSKI,SSC Napoli (ITA),177,64
Poland,6,MF,GORALSKI Jacek,21.09.1992,GORALSKI,PFC Ludogorets Razgrad (BUL),172,66
Poland,17,MF,PESZKO Slawomir,19.02.1985,PESZKO,Lechia Gdansk (POL),173,68
Poland,16,MF,BLASZCZYKOWSKI Jakub,14.12.1985,BLASZCZYKOWSKI,VfL Wolfsburg (GER),175,71
Poland,18,DF,BERESZYNSKI Bartosz,12.07.1992,BERESZYNSKI,UC Sampdoria (ITA),182,72
