Changchun Finance Coll， Dept Phys Educ， Changchun 130022， Jilin， Peoples R China ;,长春市财政学院体育系，长春130022；
Changchun Sci & Technol Univ， Coll Biol & Food， Changchun 130600， Jilin， Peoples R China,长春科技大学生物与食品学院，长春130600，吉林，中国人民
Changchun Sci.-Tech. University of Information Engineering， Changchun， China ;,长春信息工程大学；
Changchun Teachers Univ Changchun， Changchun， JinLin Province， Peoples R China,长春师范大学中国吉林省长春市
Changhai Hosp， Mil Coll 2， Shanghai， Peoples R China,中国人民上海市米尔科尔2号长海医院
Changhai Hospital， Naval Military University (The Second Military University)， Shanghai， China ;,海军军事大学（第二军校）长海医院；
Changhcun Sci Tech Univ， Engn Res Ctr Mt Changbai Ecol Resources Dev， Changchun 130600， Jilin， Peoples R China ;,中国吉林省长春市长白山生态资源开发区长春村科技大学；
Changhou Univ， Ctr Low Dimens Mat Micronano Devices & Syst， Jiangsu Key Lab Solar Cell Mat & Technol， Changzhou 213164， Peoples R China,长侯大学，中国低二聚体材料与微纳米器件与系统，江苏省重点实验室，太阳能电池材料与技术，常州213164，中国
Changhun Normal Univ， Sch Life Sci， Changchun 130032， Jilin， Peoples R China ;,长春师范大学生命科学学院；
Changping College of Non-commissioned Officer， The Academy of Equipment， Beijing， China ;,北京昌平装备学院士官学院；
Changqing Sulige Gas Field Command Ctr， Gas Collcting Stn 4， Six Rd， Erdos， Inner Mongolia， Peoples R China ;,长庆苏里格气田指挥中心，中国内蒙古鄂尔多斯六路4号采气站；
Changsha Aeronautical Technical College， Aero-equipment Maintainance Egineering Deparment， Changsha， China ;,长沙航空技术学院航空装备维修工程处；
Changsha Elect Power Tech Coll， Changsha 410131， Hunan， Peoples R China ;,长沙电力科技大学，湖南长沙410131；
Changsha Elect Power Tech Coll， Dept Elect Power， Changsha 410131， Hunan， Peoples R China ;,长沙电力科技大学电力系长沙410131；
Changshou Univ， Adv Catalysis & Green Mfg Collaborat Innovat Ctr， Chcmgsshou 213164， Peoples R China ;,常熟大学催化与绿色制造合作中心，CHCMGSSHOU213164，中国人民；
Changsshou Univ， Sch Math & Phys， Changsshou 213164， Peoples R China ;,中国人民大学数学与物理系；
Changzhau Univ， Coll Pharmaceut Engn & Life Sci， Dept Biochem Engn， Changzhau 213164， Jiangsu， Peoples R China ;,中国江苏省长株213164生物化工工程系；
Changzhou Coll Informat & Technol， Dept Mech & Elect Engn， Changzhou， Peoples R China ;,常州科尔信息技术有限公司机电工程部，常州，中国；
Changzhou Inst Ind Technol， Coll Art & Creat， 28 Mingxin Middle Rd， Changzhou 213164， Peoples R China,中华人民共和国常州市明信中路28号科勒艺术创意中心常州工业技术学院
Changzhou Key Laboratory of New Textile Materials， Changzhou Textile Garment College， Changzhou， China ;,常州纺织服装学院纺织新材料重点实验室；
Changzhou Tech Coll Jiangsu Prov， Dept Mech & Elect， Changzhou 213000， Peoples R China ;,江苏省常州理工大学机电工程系；
Changzhou Technician Coll Jiangsu Prov， Dept Mech Engn， Changzhou 213032， Peoples R China,常州技术员中国江苏省常州市机械工程部，邮编213032
Changzhou Textile Garment College， Changzhou 213164， China ;,常州纺织服装学院；
Changzhou Textile Garment College， Changzhou 213164， China ;,常州纺织服装学院；
Changzhuo Univ， Sch Petr Engn， Changzhou 213164， Jiangsu， Peoples R China ;,中国江苏常州市长卓大学；
Chem & Environm Sci Coll， Inner Mongolia Key Lab Green Catalysis， Hohhot 010022， Peoples R China,内蒙古化工环境科学院绿色催化重点实验室，呼和浩特010022
Chem Engn Coll， Nanjing 210094， Jiangsu， Peoples R China,中国江苏省南京市化工大学，邮编210094
Chemistry Department， College of Chemistry and Life Sciences， Zhengjinag Normal University， Jinhua 321004， China ;,浙江师范大学化学与生命科学学院化学系，金华321004；
Chendu Normal Univ， Sch Comp Sci， Chengdu 611130， Peoples R China,成都师范大学计算机科学学院，成都611130
Cheng Du Community Univ， Chengdu， Peoples R China,成都市成都社区大学
Chengde Teachers Coll Nationalities， Dept Phys， Chengde 067000， Peoples R China,承德师范学院民族系，承德067000
Chengdu Aeronaut Polytech， Coll Architecture Engn， Chengdu 610100， Sichuan， Peoples R China ;,成都航空工业大学建筑工程学院，四川成都610100；
Chengdu Aeronaut Polytech， Coll Elect & Informat Engn， Chengdu 610100， Sichuan， Peoples R China ;,中国四川成都航空工业大学电子信息工程学院；
Chengdu Coll Arts & Sci， Sch Educ， Chengdu， Peoples R China ;,中国人民成都大学文理学院；
Chengdu Coll Engn & Technol， Chengdu 610018， Peoples R China,成都科伦科技有限公司，中国成都610018
Chengdu Electromechanical College， Chengdu 610054， China ;,成都机电学院，成都610054；
Chengdu Technological Univ.， Chengdu， China ;,成都理工大学，中国成都；
Chengdu Technological University ，  Chengdu,成都理工大学
Chengdu Uinvers Technol， Engn & Tech Coll， Leshan 614000， Peoples R China ;,成都英孚科技科技有限公司，乐山614000，中国；
Cheongju Univ， Cheongju， Peoples R China,中国清州大学
Cheriton School of Computer Science， University of Waterloo， 200 University Ave West， Waterloo,滑铁卢大学切里顿计算机科学学院，滑铁卢大学大道西200号
Chiang Mai University， Faculty of Agriculture， Chiang Mai,清迈大学，清迈农业学院
Chifeng Med Coll， Dept Urol， Affiliated Hosp， Chifeng 024000， Inner Mongolia， Peoples R China ;,赤峰医学院附属医院泌尿科，赤峰024000，内蒙古，中国人民；
Chiha Univ Min & Technol， Low Carbon Energy Inst， Xuzhou 221008， Jiangsu， Peoples R China ;,中国人民江苏省徐州市低碳能源研究所；
Chin Yi Univ Technol， Dept Mech Engn， Tai Chung， Peoples R China,中华人民共和国台中市钦义科技大学机械工程系
China Agricultrual University， Beijing， 100083， China ;,中国农业大学，北京，100083；
China Agron & Biotechnol， Coll Agron & Biotechnol， Dept Plant Pathol， Beijing 100193， Peoples R China,中国农业生物科技股份有限公司，中国农业生物科技股份有限公司，植物病理科，北京100193
China Cent Univ Finance & Econ， 39 Xueyuan Nanlu， Haidian Dist， Peoples R China ;,中华人民共和国海淀区学苑南路39号中国金融经济大学；
China Cent Univ Finance & Econ， Fac Law， Beijing 100081， Peoples R China,中华人民共和国北京市金融经济学院法律系，邮编：100081
China Electric Power University， Baoding 071003， China ;,中国电力大学，保定071003；
China Gorges Univ， Three Gorges Math Res Ctr， Yichang 443002， Hubei， Peoples R China ;,中国三峡大学三峡数学研究中心湖北宜昌443002；
China Green Univ Network， Shanghai 200092， Peoples R China,中国绿色大学网络，上海200092，中国人民
China Informat Consulting & Designing Institude C， Tower Coll， Nanjing 210019， Jiangsu， Peoples R China ;,中华人民共和国江苏省南京市科勒大厦C座信息咨询设计院；
China Jilang University， Hangzhou， China ;,中国浙江大学；
China Min Univ Technol， Natl Ctr Coal Preparat & Purificat Engn Res， Xuzhou 221116， Jiangsu， Peoples R China,中国人民大学选煤净化工程技术学院，徐州221116
China Min Univ， Beijing 100083， Peoples R China ;,中国人民大学，北京100083；
China Min Univ， Sch Mechatron & Informat Engn， Beijing 100083， Peoples R China ;,中国人民大学机电信息工程学院，北京100083；
China Mobile Univ， Beijing 102200， Peoples R China,中国移动大学，北京102200，中国人民
China Natl Minist Educ， Coll Med， Affiliated Hosp 2， Canc Inst，Key Lab Canc Prevent & Intervent， Hangzhou， Zhejiang， Peoples R China,中国国家教育部，医学院，附属医院2，癌症研究所，重点实验室癌症预防与干预，杭州，浙江，中国人民
China Oil University， Beijing， 100018， China ;,中国石油大学，北京，100018；
China Post Online Coll， China Post Training Ctr， Shijiazhuang 050021， Hebei， Peoples R China,中国邮政在线学院，中国邮政培训中心，石家庄050021，河北，中国人民
China Sci MapUniverse Technol Co Ltd MAPUNI， Beijing 100101， Peoples R China ;,中国科学地图宇宙科技有限公司北京马普尼100101；
China Taiyuan Univ Technol， Coll Safety & Emergency Management Engn， Taiyuan 030000， Shanxi， Peoples R China,中国太原大学安全与应急管理工程学院，太原030000，山西，中国人民
China Three Gorges Univ Coll， Coll Elect Engn & New Energy， Yichang 443002， Peoples R China ;,中国三峡大学电子工程与新能源学院，宜昌443002；
China Three Gorges Univ. Key Lab. of Geological Hazards on Three Gorges Reservoir Area， Ministry of Education， Yichang， China ;,中国三峡大学三峡库区地质灾害重点实验室，教育部，宜昌；
China Three Gorges University. Key Lab. of Geological Hazards on Three Gorges Reservoir Area， Ministry of Education， Yichang， China ;,中国三峡大学。三峡库区地质灾害重点实验室，教育部，宜昌；
China Three GorgesUniv， Key Lab Geol Hazards Three Gorges Reservoir Area， Minist Educ， Yichang 443002， Hubei， Peoples R China ;,中国三峡大学，三峡库区地质灾害重点实验室，教育部，湖北宜昌443002；
China Tree Gorges Univ， Coll Mech & Mat Engn， Yichang 443000， Peoples R China,中国树木峡谷大学，机械与材料工程学院，宜昌443000，中国人民
China Tree Gorges Univ， Elect & New Energy Fac， Yichang 443002， Peoples R China,中国三峡大学电力与新能源学院，宜昌443002
China Univ Ceosci， Sch Math & Phys， Wuhan 430074， Hubei， Peoples R China ;,中国工商大学数学与物理学院，湖北武汉430074；
China Univ Chengdu Technol， Postdoctor Stn， Chengdu 610059， Peoples R China,中国成都理工大学，博士后Stn，成都610059，中国人民
China Univ Geasci， Sch Energy Resources， Beijing 100083， Peoples R China,中国能源科学大学，中国北京100083
China Univ Geociences Wuhan， Coll Environm Sci， Wuhan， Hubei， Peoples R China ;,中国地质大学武汉分校，环境科学学院，武汉，湖北，中国人民；
China Univ Geosdences， State Key Lab Biogeol & Environm Geol， Wuhan 430074， Hubei， Peoples R China ;,中国地质大学，生物地球与环境地球国家重点实验室，湖北武汉430074；
China Univ Lab Relat， Beijing 100048， Peoples R China,中国人民大学实验室，北京100048
China Univ Lab Relat， Beijing 100048， Peoples R China ;,中国大学实验室，北京100048；
China Univ Lab Relat， Beijing 100048， Peoples R China ;,中国大学实验室，北京100048；
China Univ Pertroleum Beijing， Beijing 102249， Peoples R China ;,中国人民大学北京；
China Univ Petmleum， Inst Adv Mat， Qingdao 266580， Shandong， Peoples R China ;,中国石油大学，中国科学技术研究所，青岛266580，山东，中国人民；
China University Mining and Technology (Beijing)， Beijing， China ;,中国矿业大学（北京），北京；
China University of Academy of Sciences， Beijing， China;,中国科学院大学；
China University of Ceosciences( Beijing)， Beijing， 100083， China ;,中国地球科学大学（北京），北京，100083；
China University of Geasciences( Beijing)， Academy of Science， Beijing， 100083， China ;,中国地质科学大学（北京），科学院，北京，100083；
China University Petroleum， Beijing 102249， China ;,中国石油大学，北京102249；
China West Normal University and Key Laboratory of Education on Southwest China Wildlife Resoureces Conservation， Nanchong， 637002， China ;,西南师范大学西南野生动物资源保护教育重点实验室，南充，637002；
China Womens Univ Lib， Beijing， Peoples R China ;,中国妇女联合会，北京，中国人民；
China Xi'an University of Science and Technology， Xi'an， China;,中国西安科技大学；
ChinaAgr Univ， Coll Food Sci & Nutr Engn， Beijing， Peoples R China ;,中国农业大学食品科学与营养工程学院；
China-ASEAN International College， Dhurakij Pundit University， Bangkok,曼谷杜拉基大学中国-东盟国际学院
Chinese Coll Crit Ultrasound， Neonatal Lung Ultrasound Training Base， Beijing， Peoples R China,中华人民共和国北京市新生儿肺超声训练基地
Chinese Language and Culture College， Yunan Normal University， China ;,云南师范大学汉语言文化学院；
Chinese Language and Culture College， Yunan Normal University， China ;,云南师范大学汉语言文化学院；
Chinese Minist Educ， Key Lab Appl Surface & Colloid Chem， Beijing， Peoples R China,中国教育部应用表面与胶体化学重点实验室，北京，中国
Chinese Natl Minist Educ， Key Lab Appl Surface & Colloid Chem， Xian 710062， Peoples R China,中国国家教育部应用表面与胶体化学重点实验室，西安710062
Chinese Pomona College， Beijing， Peoples R China,中华人民共和国北京波莫纳学院
Chinese Univ Hong， Sch Management & Econ， Shenzhen Finance Inst， Shenzhen， Peoples R China,中国香港大学，中国深圳金融职业技术学院管理与经济学院，中国深圳
Chinese Univ Hong， Shenzhen Ctr Novel Funct Mol， Shenzhen 518507， Peoples R China,中国香港大学，深圳中心小说出版社，深圳518507
Chinese Univ Hongkong Joint Res Ctr Bioresources， Kunming Inst Zool， Kunming 650223， Yunnan， Peoples R China,中华人民共和国云南省昆明市昆明市中港联合资源生物资源研究所，昆明650223
Chinese Univ Hongkong， Joint Res Ctr Bioresources & Human Dis Mech， Kunming Inst Zool， Kunming 650223， Peoples R China,中国香港大学，生物资源与人类疾病联合研究所，昆明大学，昆明650223
